aDate;aDateEpochUnix;bTweetText;bTweetTextLang;cFromWhom;cToWhom;dataTweetId;dataPermalinkPath;dataUserId;dataName;dataScreenName;eProfileTweetActionReply;eProfileTweetActionRetweet;eProfileTweetActionFavorite;fSearchedWithThisKeyword
11 Mar 2014;1394558109;Les Saez derniers Caennais viennent enfin de rentrer, ils ont réussi à transpercer la brume de pollution havraise #HACSMC #derbynormand;fr;Entiag ;@Entiag;443434968526905344;https://twitter.com/Entiag/status/443434968526905344;2377148762;Entiag;Entiag;;;;pollution OR pollutions
11 Mar 2014;1394558092;Le nuage de pollution sur Paris... on se croirait à Pékin...;fr;Appelez-moi Poupette ;@Poupette_and_Co;443434898070982658;https://twitter.com/Poupette_and_Co/status/443434898070982658;1059827780;Appelez-moi Poupette;Poupette_and_Co;2;;;pollution OR pollutions
11 Mar 2014;1394558015;EURE-ET-LOIR - Alerte à la pollution atmosphérique http://fb.me/36VfWO2j1 ;fr;Elise d'Intensite ;@ElisedIntensite;443434574266499073;https://twitter.com/ElisedIntensite/status/443434574266499073;68725425;Elise d'Intensite;ElisedIntensite;;;;pollution OR pollutions
11 Mar 2014;1394557968;Evolution du Volume de glace Arctique (en km3) de 1979 à 2013: http://bit.ly/1fvOn82  #climat @RACFrance #climatechange #pollution;fr;Low Rider ;@MIMA62300;443434375565541376;https://twitter.com/MIMA62300/status/443434375565541376;490650347;Low Rider;MIMA62300;;;;pollution OR pollutions
11 Mar 2014;1394557935;"Plainte contre X pour pollution : ""C’est sciemment qu’on nous tue"" - Alors que le site Airparif publie des… http://www.notreterre.org/article-plainte-contre-x-pour-pollution-c-est-sciemment-qu-on-nous-tue-122910281.html#fromTwitter …";fr;Notre Terre ;@NotreTerre1;443434238977654784;https://twitter.com/NotreTerre1/status/443434238977654784;495871500;Notre Terre;NotreTerre1;;;;pollution OR pollutions
11 Mar 2014;1394557912;Adaptées à quoi ? @Ministere_DD: pollution : des recommandations adaptées diffusées ds chaque zone au nom du Préfet http://bit.ly/1lSrRPd ”;fr;Denis_BaupinVerified account ;@Denis_Baupin;443434140990726144;https://twitter.com/Denis_Baupin/status/443434140990726144;17271007;Denis_Baupin;Denis_Baupin;;2;;pollution OR pollutions
11 Mar 2014;1394557897;Pollution: alerte maintenue dans le bassin lyonnais et le nord de l'Isère http://r.1am.fr/eyg7x ;fr;Alex Alouit ;@alexalouit;443434077060730880;https://twitter.com/alexalouit/status/443434077060730880;15096025;Alex Alouit;alexalouit;;;;pollution OR pollutions
11 Mar 2014;1394557882;Le CNPA souhaite que  soient exclus de la directive sur les pollutions industrielles les collecteurs d'huiles usagées http://bit.ly/1kJYfmV ;fr;LP A.Beau de Rochas ;@CDIBeaudeRochas;443434015627182081;https://twitter.com/CDIBeaudeRochas/status/443434015627182081;2203802845;LP A.Beau de Rochas;CDIBeaudeRochas;;;;pollution OR pollutions
11 Mar 2014;1394557787;#FRANCE | Comment se protéger contre la pollution aux particules fines? http://dlvr.it/56sHHX  | http://tiny.cc/mux6lw ;fr;cargnelli.info ;@cargnelli_info;443433616727482369;https://twitter.com/cargnelli_info/status/443433616727482369;715836452;cargnelli.info;cargnelli_info;;;;pollution OR pollutions
11 Mar 2014;1394557672;À Paris, le ciel bleu disparaît sous un voile gris. La #pollution s'est installée. #RueLafayette #Paris;fr;Nicolas Bellemon ;@nbellemon;443433134659764224;https://twitter.com/nbellemon/status/443433134659764224;176032502;Nicolas Bellemon;nbellemon;;;;pollution OR pollutions
